member_id,name,birth_date,birth_place,mbti,height,hobby,special_skill,week_2_rank,week_3_rank,week_5_rank,image_url,profile_url
21,小山 麻菜,1998/09/07,神奈川,ENFP,163,ホラー映画を観ること、友達と一緒に踊ること、美味しいご飯を食べること,カバーダンス、ピルエット、テナーサックス,44,42,49,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/042_koyamamana.jpg,https://produce101.jp/profile/detail/?id=042_koyamamana&lang=ja
22,斉藤 芹菜,2006/05/03,大阪,ESFP,164,お菓子作り、メイク,マジック、人の顔と名前を覚えること,17,21,23,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/043_saitoserina.jpg,https://produce101.jp/profile/detail/?id=043_saitoserina&lang=ja
23,坂口 梨乃,2003/09/01,神奈川,INFJ,165,アニメや映画を観ること、PCを触ること、メイクやファッション勉強,歌,25,17,14,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/044_sakaguchirino.jpg,https://produce101.jp/profile/detail/?id=044_sakaguchirino&lang=ja
24,坂田 琴音,2003/02/16,京都,INFP,168,1人カラオケ,絵画,56,30,28,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/045_sakatakotone.jpg,https://produce101.jp/profile/detail/?id=045_sakatakotone&lang=ja
25,櫻井 美羽,2002/01/11,愛知,ISTP,162.5,ヨガ、ベーキング、料理、水泳、音楽を聴くこと,勉強、料理、ダンスのフォーメーションを考えること,5,4,4,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/046_sakuraimiu.jpg,https://produce101.jp/profile/detail/?id=046_sakuraimiu&lang=ja
26,桜庭 遥花,2006/01/29,北海道,INTP,154,漫画、小説、バスケ,エレクトーン、長時間睡眠,34,36,42,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/047_sakurabaharuka.jpg,https://produce101.jp/profile/detail/?id=047_sakurabaharuka&lang=ja
27,佐々木 心菜,2006/01/30,三重,ISFP,165,歌を歌うこと、寝ること、オーディション番組を見ること、バトミントン,バスケ、同じ物をずっと食べられること,6,6,7,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/048_sasakikokona.jpg,https://produce101.jp/profile/detail/?id=048_sasakikokona&lang=ja
28,佐々木 つくし,2006/05/26,岩手,ISFJ,158,人間観察、振り覚え,ダンス,22,19,18,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/049_sasakitsukushi.jpg,https://produce101.jp/profile/detail/?id=049_sasakitsukushi&lang=ja
29,清水 恵子,2005/11/27,愛知,ENFP,160,絵を描くこと,片目を動かせること,18,12,12,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/054_shimizukeiko.jpg,https://produce101.jp/profile/detail/?id=054_shimizukeiko&lang=ja
30,須谷 緩,2005/08/18,兵庫,INFP,156,美術館に行くこと、ドラマやアニメの鑑賞,ダンス、表情管理,38,39,43,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/060_sutaniyurara.jpg,https://produce101.jp/profile/detail/?id=060_sutaniyurara&lang=ja
31,須藤 紗暮,2003/04/08,福岡,ISTP,161,ドライブ、UFOキャッチャー,ダンス、ルービックキューブ,30,27,29,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/061_sudosakura.jpg,https://produce101.jp/profile/detail/?id=061_sudosakura&lang=ja
32,髙木 舞優,2003/01/11,千葉,INFP,153,散歩,球技,19,23,30,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/064_takagimayu.jpg,https://produce101.jp/profile/detail/?id=064_takagimayu&lang=ja
33,髙橋 妃那,2008/01/16,埼玉,INFP,156,音楽を聴くこと、踊ること、かもの親子のお引越し動画を見ること、写真を撮ること,ダンス、空手、ゆで卵の殻を早く剥けること、口の中に沢山食べ物を詰め込めること,28,26,25,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/065_takahashihina.jpg,https://produce101.jp/profile/detail/?id=065_takahashihina&lang=ja
34,髙畠 百加,2004/04/27,東京,ENFP,169.6,寝ること、曲集め、お散歩,寝ること、見得、足首が230°開くこと,36,33,32,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/066_takabatakemomoka.jpg,https://produce101.jp/profile/detail/?id=066_takabatakemomoka&lang=ja
35,高見 文寧,2005/05/15,岩手,INTP,158,作詞作曲,茶道,9,10,9,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/067_takamiayane.jpg,https://produce101.jp/profile/detail/?id=067_takamiayane&lang=ja
36,田中 琴,2005/01/11,愛知,ENFP,159,ブレイクダンス(練習中！) 、言語の勉強,腹筋、振り付け、三点倒立,13,9,10,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/068_tanakakoto.jpg,https://produce101.jp/profile/detail/?id=068_tanakakoto&lang=ja
37,田中 優希,2004/02/14,神奈川,ISFP,170,踊ること、ラジオを聴くこと、食べること、犬と遊ぶこと,ダンス,21,24,26,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/070_tanakayuuki.jpg,https://produce101.jp/profile/detail/?id=070_tanakayuuki&lang=ja
38,中野 心結,2007/01/10,東京,INFJ,160,作詞作曲、顔の絵を描くこと、国語の教科書文の考察,演技、筋トレに耐えること,16,13,19,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/075_nakanokokona.jpg,https://produce101.jp/profile/detail/?id=075_nakanokokona&lang=ja
39,中森 琴音,2001/11/03,福岡,ISTP,163,美味しいものを食べること、ショッピング、映画鑑賞,ダンス、大食い、アクロバット,49,34,39,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/078_nakamorikotone.jpg,https://produce101.jp/profile/detail/?id=078_nakamorikotone&lang=ja
40,中森 美琴,2001/11/03,福岡,ISFP,162,カフェ巡り、美味しいご飯を見つけること、服、温泉,ダンス、アクロバット、料理、ラテアート,52,37,44,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/079_nakamorimikoto.jpg,https://produce101.jp/profile/detail/?id=079_nakamorimikoto&lang=ja
41,八田 芽奈,2006/06/08,兵庫,ESFP,163,ダンス、インスタ映えスポットに行くこと,話しかけること、ポーズをとること,27,22,16,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/081_hattamena.jpg,https://produce101.jp/profile/detail/?id=081_hattamena&lang=ja
42,日髙 葉月,2007/08/08,大阪,ENFP,166,オシャレをすること,食べること,37,40,40,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/084_hidakahazuki.jpg,https://produce101.jp/profile/detail/?id=084_hidakahazuki&lang=ja
43,藤本 彩花,2001/08/31,埼玉,INFJ,169,愛犬と遊ぶこと、パン屋巡り、ナンプレ,バトントワリング、アクロバット,45,54,36,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/085_fujimotoayaka.jpg,https://produce101.jp/profile/detail/?id=085_fujimotoayaka&lang=ja
