member_id,name,birth_date,birth_place,mbti,height,hobby,special_skill
54,新澤 実華,2004/09/10,新潟,ISTP,164,スキンケア、音楽、お菓子,柔軟
55,菅井 夏帆,2003/06/03,埼玉,INFP,166,ギター、絵を描くこと,クラシックバレエ、書道
56,鈴木 玲名,2006/05/11,東京,ESFP,156,ダンス、人形と一緒に寝ること、チッケムを見ること,いちご早食い、二倍速ダンス
57,須谷 緩,2005/08/18,兵庫,INFP,156,美術館に行くこと、ドラマやアニメの鑑賞,ダンス、表情管理
58,須藤 紗暮,2003/04/08,福岡,ISTP,161,ドライブ、UFOキャッチャー,ダンス、ルービックキューブ
59,関口 理香子,2007/12/28,神奈川,ENFP,164,ピアノ、ドラム、ダンス、曲を聴くこと、おいしいものを食べること,体の柔らかさ、K-POP BOYS DANCE
60,髙木 舞優,2003/01/11,千葉,INFP,153,散歩,球技
61,髙橋 妃那,2008/01/16,埼玉,INFP,156,音楽を聴くこと、踊ること、かもの親子のお引越し動画を見ること、写真を撮ること,ダンス、空手、ゆで卵の殻を早く剥けること、口の中に沢山食べ物を詰め込めること
62,髙畠 百加,2004/04/27,東京,ENFP,169.6,寝ること、曲集め、お散歩,寝ること、見得、足首が230°開くこと
63,高見 文寧,2005/05/15,岩手,INTP,158,作詞作曲,茶道
64,田中 琴,2005/01/11,愛知,ENFP,159,ブレイクダンス(練習中！) 、言語の勉強,腹筋、振り付け、三点倒立
65,田中 花,2008/01/05,大阪,ESFP,160,ヘアメイク,ダンス、ヘアメイク
66,田中 優希,2004/02/14,神奈川,ISFP,170,踊ること、ラジオを聴くこと、食べること、犬と遊ぶこと,ダンス
67,田邊 果凜,2003/01/23,広島,ENFJ,160,歌うこと、映画鑑賞,身近な人のものまね
68,谷 聖彩,2006/12/28,埼玉,ISTJ,161,読書、芸術鑑賞、お菓子を食べること、みおなぎちゃんを見て癒されること,目を一重にすること、指の第一関節を曲げること
69,田端 那菜,2006/01/01,埼玉,ENFP,162,音楽を聴くこと、写真を撮ること、かわいいねこちゃんを探すこと,ダンス、ねこの鳴き真似、利きメロンソーダ
70,田淵 美優,2004/03/09,岡山,INTP,163,食べること、カラオケ,ダンス、柔軟性、踊る時の表情管理
71,中野 心結,2007/01/10,東京,INFJ,160,作詞作曲、顔の絵を描くこと、国語の教科書文の考察,演技、筋トレに耐えること
72,中村 葵,2006/03/07,長野,INFP,157,映画鑑賞、料理、編み物,料理、K-POPダンス
73,中村 璃彩,2005/08/11,大阪,ESFP,160,1人カラオケ、猫と遊ぶこと,クラシックバレエ
74,中森 琴音,2001/11/03,福岡,ISTP,163,美味しいものを食べること、ショッピング、映画鑑賞,ダンス、大食い、アクロバット
75,中森 美琴,2001/11/03,福岡,ISFP,162,カフェ巡り、美味しいご飯を見つけること、服、温泉,ダンス、アクロバット、料理、ラテアート
76,中山 穗乃楓,2002/09/28,愛知,ENFP,166,映画・舞台・音楽鑑賞、ドラム、コスメ集め、ファッション,クレヨンしんちゃんモノマネ
77,八田 芽奈,2006/06/08,兵庫,ESFP,163,ダンス、インスタ映えスポットに行くこと,話しかけること、ポーズをとること
78,濵嵜 愛子,2003/10/18,福岡,INFP,160,子どもと遊ぶこと、クラシックバレエ、コンテンポラリーダンス,朗読、読み聞かせ、どこでも寝られること
79,坂東 楓夏,2004/08/31,東京,ESFP,162,踊ること、おしゃべり、トッポのチョコの部分を折らずに周りを食べること,みんなを笑顔にすること
80,日髙 葉月,2007/08/08,大阪,ENFP,166,オシャレをすること,食べること
81,藤本 彩花,2001/08/31,埼玉,INFJ,169,愛犬と遊ぶこと、パン屋巡り、ナンプレ,バトントワリング、アクロバット
82,古橋 沙也佳,2002/07/10,千葉,INFP,165,アイスを食べること、黄昏れること,ご飯をたくさん食べること、ピアノを弾くこと
83,細井 彩加,2002/04/16,千葉,ESFP,153,常に音楽を聴くこと,言語
84,松下 実夢,2000/07/10,石川,ENFP,160,料理、映画・アニメ鑑賞,ダンス
85,水上 凜巳花,2003/07/10,福岡,ENFP,164,ホラー映画を観ること(その中で生きる方法を考えること),誰とでも仲良くなれること
86,村上 璃杏,2006/09/30,岡山,INFP,164,寝ること、食べること、コスメ集め,早口言葉
87,茂木 詩音,2006/11/27,千葉,INFP,161,ダンス、アニメ鑑賞,絵を描くこと、韓国語
88,本橋 明桜,2006/08/24,千葉,ESFJ,154,食べること、遊ぶこと、寝ること、ダンス,手首が柔らかいこと、フラフープ
89,茂呂 空音,2003/04/05,東京,INFJ,159,音楽を聴きながら散歩すること、サッカー・フットサル観戦,どこでも寝られること
90,山口 愛咲,2007/11/26,宮崎,ISTP,160,毎日空の写真を撮ること,ご飯をいっぱい食べられること、サックス
91,山崎 美月,2001/08/17,東京,ENTJ,162,空観察、推理小説読解、ラテアート,料理、パン・お菓子作り、金魚すくい、UFOキャッチャー、空手
92,山本 すず,2006/12/16,東京,INFP,164,ドラマ鑑賞,空手
93,吉田 彩乃,2001/12/21,大阪,INFJ,156,パン屋巡り、古着屋巡り,口笛
94,吉田 花夏,2006/05/10,奈良,ESFJ,166,音楽鑑賞、ファッション,ミッキーマウスのモノマネ
95,脇本 美颯,2006/09/01,岡山,ISFP,160,映画鑑賞(アニメ・ホラー),コピーダンス
96,渡辺 未優,2007/05/14,兵庫,ESFP,158,韓ドラ鑑賞、ネイルをすること,友達を作ること
