songID,varID,lyrics_writer,song_writer,arranger,link,singleID,albumID
41,1,山上路夫,猪俣公章,船山基紀,http://www.up-front-works.jp/release/detail/EPCE-5289/,,4
41,2,山上路夫,猪俣公章,船山基紀,http://www.up-front-works.jp/release/detail/EPCE-5289/,,53
42,1,つんく,小室等,小西貴雄,http://www.up-front-works.jp/release/detail/HKCN-50010/,,4
43,1,荒木とよひさ,三木たかし,信田かずお,http://www.up-front-works.jp/release/detail/EPCE-5010/,,4
44,1,荒木とよひさ,堀内孝雄,船山基紀,http://www.up-front-works.jp/release/detail/EPCE-5010/,,4
45,1,林春生,ザ・ベンチャーズ,船山基紀,http://www.up-front-works.jp/release/detail/EPCE-5010/,,4
47,1,竹内まりや,竹内まりや,船山基紀,http://www.up-front-works.jp/release/detail/EPCE-5010/,,4
48,1,石原信一,篠原義彦,川口真,http://www.up-front-works.jp/release/detail/EPCE-5010/,,4
49,1,つんく,つんく,前嶋康明,http://www.up-front-works.jp/release/detail/EPCE-5505/,12,
49,2,つんく,つんく,前嶋康明,http://www.up-front-works.jp/release/detail/HKCN-50016/,,49
49,3,つんく,つんく,前嶋康明,http://www.up-front-works.jp/release/detail/EPCE-5321/,,59
50,1,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/EPCE-5661/,12,
51,1,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/EPCE-5661/,12,
51,2,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/EPCE-5025/,,6
51,3,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/EPCE-5661/,127,
52,1,牧穂エミ,はたけ,はたけ,https://wmg.jp/heike/discography/2027/,13,
53,1,牧穂エミ,はたけ,はたけ,https://mdb.tower.jp/release/10433101/%E3%82%A2%E3%83%8A%E3%82%BF%E3%81%AE%E5%A4%A2%E3%81%AB%E3%81%AA%E3%82%8A%E3%81%9F%E3%81%84,13,
54,1,つんく,つんく,河野伸,http://www.up-front-works.jp/release/detail/EPCE-5593/,14,
54,2,つんく,つんく,河野伸,http://www.up-front-works.jp/release/detail/EPCE-5017/,,5
55,1,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/EPDE-1024/,14,
56,1,つんく,つんく,鈴木俊介,http://www.up-front-works.jp/release/detail/EPCE-5017/,,5
57,1,つんく,つんく,河野伸,http://www.up-front-works.jp/release/detail/EPCE-5017/,,5
58,1,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/EPCE-5177/,,5
59,1,つんく,つんく,鈴木俊介,http://www.up-front-works.jp/release/detail/EPCE-5017/,,5
60,1,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/EPCE-5017/,,5
61,1,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/EPCE-5017/,,5
61,2,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/EPCE-5177/,18,
61,3,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/EPCE-5094/,,14
61,4,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/EPCE-5177/,,28
62,1,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/EPCE-5017/,,5
63,1,つんく,つんく,小西貴雄、下町兄弟,http://www.up-front-works.jp/release/detail/EPCE-5595/,15,
63,2,つんく,つんく,小西貴雄、下町兄弟,http://www.up-front-works.jp/release/detail/EPDE-1040/,19,
63,3,つんく,つんく,小西貴雄、下町兄弟,http://www.up-front-works.jp/release/detail/EPDE-1040/,19,
64,1,つんく,つんく,小西貴雄、下町兄弟,http://www.up-front-works.jp/release/detail/EPCE-5595/,15,
65,1,つんく,つんく,河野伸,https://recochoku.jp/album/A2000272664/,16,
65,2,つんく,つんく,河野伸,http://www.up-front-works.jp/release/detail/EPCE-5025/,,6
65,3,つんく,つんく,米光亮,http://www.up-front-works.jp/release/detail/EPCE-5167/,,209
65,4,つんく,つんく,河野伸,http://www.up-front-works.jp/release/detail/EPCE-5321/,,59
65,5,つんく,つんく,河野伸,https://recochoku.jp/album/A2000272664/,,133
65,6,つんく,つんく,河野伸,https://recochoku.jp/album/A2000272664/,,135
65,7,つんく,つんく,河野伸,https://recochoku.jp/album/A2000272664/,,136
65,8,つんく,つんく,河野伸,https://recochoku.jp/album/A2000272664/,,136
66,1,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/EPCE-5661/,16,
66,2,つんく,つんく,小西貴雄,,,6
67,1,荒木とよひさ,堀内孝雄,船山基紀,http://www.up-front-works.jp/release/detail/EPCE-5591/,17,
68,1,荒木とよひさ,堀内孝雄,船山基紀,http://www.up-front-works.jp/release/detail/EPDE-1031/,17,
69,1,つんく,つんく,山内薫,http://www.up-front-works.jp/release/detail/EPCE-5177/,18,
70,1,つんく,つんく,松原憲,http://www.up-front-works.jp/release/detail/EPCE-5595/,19,
70,2,つんく,つんく,松原憲,http://www.up-front-works.jp/release/detail/EPDE-1047/,23,
70,3,つんく,つんく,松原憲,http://www.up-front-works.jp/release/detail/EPDE-1047/,23,
70,4,つんく,つんく,松原憲,http://www.up-front-works.jp/release/detail/PKCP-5025/,138,
71,1,つんく,つんく,ツルノリヒロ,http://www.up-front-works.jp/release/detail/UFCW-1101/,20,
71,2,つんく,つんく,米光亮,,602,
71,3,つんく,つんく,米光亮,http://www.up-front-works.jp/release/detail/EPCE-5167/,,209
71,4,つんく,つんく,WMPTARMIGAN,,,210
71,5,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/HKCN-50016/,,49
71,6,つんく,つんく,鈴木俊介,http://www.up-front-works.jp/release/detail/EPCE-5305/,,55
71,7,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/EPCE-5321/,,59
71,8,つんく,つんく,ツルノリヒロ,http://www.up-front-works.jp/release/detail/UFCW-1101/,,133
71,9,つんく,つんく,ツルノリヒロ,http://www.up-front-works.jp/release/detail/UFCW-1101/,,136
71,10,つんく,つんく,ツルノリヒロ,http://www.up-front-works.jp/release/detail/UFCW-1101/,,137
71,11,つんく,つんく,ツルノリヒロ,http://www.up-front-works.jp/release/detail/UFCW-1101/,,138
71,12,つんく,つんく,ツルノリヒロ,http://www.up-front-works.jp/release/detail/UFCW-1101/,,140
71,13,つんく,つんく,ツルノリヒロ,http://www.up-front-works.jp/release/detail/UFCW-1101/,,140
72,1,つんく,つんく,小西貴雄、下町兄弟,http://www.up-front-works.jp/release/detail/EPCE-5661/,20,
73,1,つんく,つんく,前嶋康明,,21,
73,2,つんく,つんく,前嶋康明,,,73
74,1,森高千里,つんく,前嶋康明,http://www.up-front-works.jp/release/detail/EPCE-5597/,22,
76,1,つんく,つんく,前嶋康明,http://www.up-front-works.jp/release/detail/EPCE-5025/,,6
77,1,つんく,つんく,鈴木俊介,http://www.up-front-works.jp/release/detail/EPCE-5025/,,6
78,1,つんく,つんく,前嶋康明,http://www.up-front-works.jp/release/detail/EPCE-5025/,,6
79,1,つんく,つんく,和田春彦,http://www.up-front-works.jp/release/detail/UFCW-1101/,,6
80,1,つんく,つんく,河野伸,http://www.up-front-works.jp/release/detail/EPCE-5025/,,6
81,1,つんく,つんく,河野伸,http://www.up-front-works.jp/release/detail/EPCE-5595/,23,
81,2,つんく,つんく,河野伸,http://www.up-front-works.jp/release/detail/EPDE-1051/,27,
81,3,つんく,つんく,河野伸,http://www.up-front-works.jp/release/detail/EPDE-1051/,27,
81,4,つんく,つんく,河野伸,http://www.up-front-works.jp/release/detail/EPCE-5595/,156,
82,1,平家みちよ,はたけ,はたけ,https://wmg.jp/heike/discography/2027/,24,
83,1,平家みちよ,はたけ,はたけ,,24,
84,1,AKA$AKA,真田カオル,真田カオル,https://musicbrainz.org/release/922c5e2e-08e6-465c-8868-9915b2f21d02,25,
85,1,AKA$AKA,真田カオル,真田カオル,https://musicbrainz.org/release/922c5e2e-08e6-465c-8868-9915b2f21d02,25,
86,1,つんく,つんく,河野伸,https://www.discogs.com/ja/release/3778509-Coconuts-Musume-Dance-Chance,26,
86,2,つんく,つんく,河野伸,http://www.up-front-works.jp/release/detail/EPCE-5054/,26,
87,1,つんく (英訳：Lynne Hobday),つんく,村山晋一郎,https://www.discogs.com/ja/release/3778509-Coconuts-Musume-Dance-Chance,26,
87,2,つんく (英訳：Lynne Hobday),つんく,村山晋一郎,http://www.up-front-works.jp/release/detail/EPCE-5595/,,102
88,1,つんく,つんく,村山晋一郎,http://www.up-front-works.jp/release/detail/EPCE-7556/,27,
88,2,つんく,つんく,村山晋一郎,http://www.up-front-works.jp/release/detail/EPCE-5028/,29,
88,3,つんく,つんく,村山晋一郎,http://www.up-front-works.jp/release/detail/EPCE-5028/,29,
89,1,つんく,つんく,ダンス☆マン,http://www.up-front-works.jp/release/detail/EPCE-5505/,28,
89,2,つんく,つんく,ダンス☆マン,http://www.helloproject.com/release/detail/EPDE-1052/,28,
89,3,つんく,つんく,ダンス☆マン,http://www.up-front-works.jp/release/detail/EPCE-5054/,,9
89,4,つんく,つんく,米光亮,http://www.up-front-works.jp/release/detail/EPCE-5167/,,209
89,5,つんく,つんく,WMPTARMIGAN,,,210
89,6,つんく,つんく,ダンス☆マン,,,157
89,7,つんく,つんく,アカペラアレンジ：杉田篤史(INSPi),http://www.up-front-works.jp/release/detail/EPCE-7529/,,195
89,8,つんく,つんく,平田祥一郎,,,234
90,1,つんく,つんく,鈴木俊介,http://www.up-front-works.jp/release/detail/EPCE-5661/,28,
91,1,つんく,つんく,村山晋一郎,http://www.up-front-works.jp/release/detail/EPCE-5595/,29,
91,2,つんく,つんく,村山晋一郎,http://www.up-front-works.jp/release/detail/EPDE-1065/,34,
91,3,つんく,つんく,村山晋一郎,http://www.up-front-works.jp/release/detail/EPDE-1065/,34,
91,4,つんく,つんく,村山晋一郎,,,168
92,1,つんく,つんく,Koichi Matsumoto、Toshiyuki Matsumoto,http://www.up-front-works.jp/release/detail/EPCE-5595/,29,
