name,birth_date,birth_place,mbti,height,hobby,special_skill,week_2_rank,week_3_rank,week_5_rank,week_6_rank,week_8_rank,week_10_rank
秋山 愛,2003/02/05,東京,ISTP,163,インスタのファッションアカウントを漁ること,ものまね、柔軟,35,38,35,43,41,
阿部 和,2007/07/02,神奈川,ISFP,156,ソファーでお昼寝をすること,開脚、人より高いブリッジ、小指を柔らかくすること,15,14,13,14,15,23
荒牧 深愛,2005/08/29,東京,ENFP,157,動画編集,ダンス、阿波踊り,12,18,20,26,22,22
安藤 千陽,2004/05/20,福岡,INFJ,168,映像作品を観ること,折り紙,43,43,38,39,44,
安藤 佑唯,2004/10/06,愛知,ENFP,160,メイク、好きな曲を探すこと,歌、マッサージ、モノマネ,20,25,21,18,14,25
井餘田 華,2006/11/07,東京,ESFP,161,人間観察、食べること,ダンス、人の顔と名前をすぐに覚えること,63,64,71,,,
植木 美々,2007/10/28,神奈川,ESFP,169,手指消毒、K-POPアイドルの真似、野球観戦,1人でクレヨンしんちゃん、ドラム,51,57,63,,,
内山 凜,2008/02/03,東京,ESTJ,159,音楽鑑賞、ゲーム、歌うこと,ダンス、トータッチ,74,73,46,35,39,
及川 里桜,2006/05/02,宮城,ENTJ,168,水遊び全般,足の指が器用なこと,39,46,56,,,
太田 紗蘭,2005/04/19,神奈川,ENFJ,165.5,音楽を聴くこと、写真を撮ること,肩甲骨コントロール,94,90,90,,,
大坪 楓恋,2004/11/05,福岡,ISTP,165,漫画、ゲームセンター,韓国語、ギター,54,49,50,38,40,
岡部 望々花,2005/08/22,京都,ESFP,157,ショッピング、犬の動画を見ること,K-POPカバーダンス、ブリッジ歩き、ハンバーガー作り,73,81,69,,,
岡村 菜那,2005/08/19,北海道,ENFP,159,K-POP・ドラマ鑑賞、好きな音楽を聴いてリズムに乗ってノリノリになること、子猫の動画をみること、深夜にモッパンを見ること,テニス、人を笑顔にすること,58,61,67,,,
小田 有葉,2002/06/06,東京,ENFP,155,映画を観ること、音楽を聴くこと,ダンス,33,41,53,,,
小栁 絵美,2003/11/29,インドネシア,ESFJ,156,ダンス、ショッピング,ウィンク,61,66,73,,,
片岡 陽音,2004/09/02,大阪,ENFJ,159,ダンス、アイドル鑑賞、お友達と話すこと,踊る時手先を綺麗に魅せること,70,69,82,,,
加藤 愛梨,2004/04/11,東京,ENFP,164,ディズニー,ものまね,88,79,91,,,
加藤 好実,2004/10/17,東京,ESFJ,160,甘いものを食べること,メイク、舌を2つに折ること,82,94,80,,,
鎌田 萌,2004/03/24,大阪,ENFP,162,美味しいご飯屋さんを見つけること,どんな曲でも鼻で奏でられること,89,72,58,,,
神尾 彩乃,2006/07/18,大阪,ESFJ,159,写真を撮ること,ジャイアンのものまね,29,31,27,21,23,24
川岸 瑠那,2001/04/29,東京,ESFP,155,エレクトーン、ピアノ,テコンドー,66,68,77,,,
川畑 蘭華,2006/05/05,愛知,ENFP,165,神社巡り,目のリレー、舌が鼻につくこと、絵を描くこと,41,48,47,28,25,33
菅野 美優,2002/07/11,香川,ESTJ,164,パン作り、ラテアート、洋服のデザイン,ダンス、動画編集,47,52,48,46,47,
菊川 亜樹,2001/08/13,福岡,INFJ,161,ダンス、自然に触れること、好きな香りで癒されること、自分のケア、YouTube鑑賞、Netflix鑑賞,ダンス、ソフトテニス,50,53,61,,,
北爪 さくら,2004/08/12,群馬,ENFP,155,ダンス,ものまね、アクロバット,11,15,22,19,21,28
木野 稟子,2005/09/13,京都,ESFP,160,アニメを観ること、猫と遊ぶこと,スポーツ、絵を描くこと,76,76,84,,,
栗原 果乃,2004/11/06,埼玉,ISTP,157,愛犬と遊ぶこと,頭皮を動かすこと、エビの殼剥き,95,93,59,,,
黒川 穂香,2005/07/01,徳島,ENFP,168,音楽鑑賞、ゲーム,モノマネ、バレーボール,78,60,55,,,
小林 さえ,2005/02/02,神奈川,ESFP,164,K-POPを聴くこと、踊ること,特徴を掴んで人の真似をすること,79,85,95,,,
小山 麻菜,1998/09/07,神奈川,ENFP,163,ホラー映画を観ること、友達と一緒に踊ること、美味しいご飯を食べること,カバーダンス、ピルエット、テナーサックス,44,42,49,40,38,
斉藤 芹菜,2006/05/03,大阪,ESFP,164,お菓子作り、メイク,マジック、人の顔と名前を覚えること,17,21,23,23,26,21
坂田 琴音,2003/02/16,京都,INFP,168,1人カラオケ,絵画,56,30,28,34,36,
佐々木 つくし,2006/05/26,岩手,ISFJ,158,人間観察、振り覚え,ダンス,22,19,18,31,28,27
佐藤 あめり,2004/04/06,アメリカ,ISFJ,167,スキー、日記、旅行,クラシックバレエ,64,67,79,,,
佐野 じゅえり,2003/07/10,東京,ENTP,170,映画鑑賞、ショッピング,バイオリン、ファッションコーディネート,92,77,92,,,
柴垣 有佐,2006/05/23,愛知,ENFP,161,水泳、韓国語や英語の勉強,スポーツ,96,86,96,,,
渋谷 芽衣,2006/05/12,兵庫,ENTP,163,マクドナルド新作レビュー,口を震わせて歌を歌えること,71,74,75,,,
城丸 真歩,2004/11/27,熊本,ESFP,158,食べること、写真を撮ること、カラオケ,バスケ、運動、どこでも寝られること,60,63,68,,,
新澤 実華,2004/09/10,新潟,ISTP,164,スキンケア、音楽、お菓子,柔軟,86,95,85,,,
菅井 夏帆,2003/06/03,埼玉,INFP,166,ギター、絵を描くこと,クラシックバレエ、書道,87,91,88,,,
鈴木 玲名,2006/05/11,東京,ESFP,156,ダンス、人形と一緒に寝ること、チッケムを見ること,いちご早食い、二倍速ダンス,40,45,57,,,
須谷 緩,2005/08/18,兵庫,INFP,156,美術館に行くこと、ドラマやアニメの鑑賞,ダンス、表情管理,38,39,43,36,34,32
須藤 紗暮,2003/04/08,福岡,ISTP,161,ドライブ、UFOキャッチャー,ダンス、ルービックキューブ,30,27,29,48,49,
関口 理香子,2007/12/28,神奈川,ENFP,164,ピアノ、ドラム、ダンス、曲を聴くこと、おいしいものを食べること,体の柔らかさ、K-POP BOYS DANCE,83,96,83,,,
髙木 舞優,2003/01/11,千葉,INFP,153,散歩,球技,19,23,30,45,42,
髙橋 妃那,2008/01/16,埼玉,INFP,156,音楽を聴くこと、踊ること、かもの親子のお引越し動画を見ること、写真を撮ること,ダンス、空手、ゆで卵の殻を早く剥けること、口の中に沢山食べ物を詰め込めること,28,26,25,12,12,26
田中 花,2008/01/05,大阪,ESFP,160,ヘアメイク,ダンス、ヘアメイク,68,71,70,,,
田邊 果凜,2003/01/23,広島,ENFJ,160,歌うこと、映画鑑賞,身近な人のものまね,62,65,66,,,
谷 聖彩,2006/12/28,埼玉,ISTJ,161,読書、芸術鑑賞、お菓子を食べること、みおなぎちゃんを見て癒されること,目を一重にすること、指の第一関節を曲げること,85,83,94,,,
